"caseName","status","websiteDbName","cleanClaimsDbName","submittedOnlineCount","matchedInCleanClaimsCount","missingCount","isDBOnline","description","referenceDate","isActive"
"Allin v. Compassion Health Care","OK","CompassionHealthCare_Allin_C","CompassionHealthCare_Allin_C_SQL","566","566","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","true"
"Blankenship v Leonards Express Inc","OK","LeonardsExpress_Blankenship_C","LeonardsExpress_Blankenship_C_SQL","10","10","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Bozorgmehri v. Addus Healthcare, Inc.","OK","AddusHealthcare_Bozorgmehri_C","AddusHealthcare_Bozorgmehri_C_SQL","27","27","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Brett et al. v. Valley Mountain Regional Center, Inc","OK","ValleyMountainRegionalCenter_Brett_C","ValleyMountainRegionalCenter_Brett_C_SQL","4152","4152","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Caldwell. v. Identity Intelligence Group, LLC","OK","IdentityIntelligenceGroup_Caldwell_C","IdentityIntelligenceGroup_Caldwell_C_SQL","13739","13739","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Calton v. Medical Center Barbour","OK","MedicalCenterBarbour_Calton_C","MedicalCenterBarbour_Calton_C_SQL","1011","1011","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Collins v. The District of Columbia","OK","DistrictOfColumbia_Collins_C","DistrictOfColumbia_Collins_C_SQL","348","348","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Croce v. St Josephs College of New York","OK","StJosephsCollegeOfNewYork_Croce_C","StJosephsCollegeOfNewYork_Croce_C_SQL","174","174","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"EEOC v BaronHR, LLC","OK","RadiantServicesBaronHR_EEOC_C","BaronHR_EEOC_C_SQL","60","60","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"EEOC v. Kane?s Furniture, LLC dba Kane?s Furniture","OK","KanesFurniture_EEOC_C","KanesFurniture_EEOC_C_SQL","34","34","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"EEOC v. Leopalace Guam Corporation dba Leopalace Resort","OK","LeopalaceGuamCorporation_EEOC_C","LeopalaceGuamCorporation_EEOC_C_SQL","51","51","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","true"
"EEOC v. Nevada Restaurant Services, Inc.","OK","NevadaRestaurantServices_EEOC_C","NevadaRestaurantServices_EEOC_C_SQL","164","164","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","true"
"Fava v. Laborers International Union of North America Local 1184","OK","LaborersInternationalUnionOfNorthAmerica_Fava_C","LaborersInternationalUnionOfNorthAmerica_Fava_C_SQL","80","80","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Ford v. Farha Roofing, LLC","OK","FarhaRoofing_Ford_C","FarhaRoofing_Ford_C_SQL","4","4","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Gannon v. W.P. Malone","OK","WPMalone_Gannon_C","WPMalone_Gannon_C_SQL","339","339","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Goff v. County of Riverside","OK","CountyofRiverside_Goff_PC","CountyofRiverside_Goff_PC_SQL","93","93","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Goodwin v. Word & Brown Insurance Administrators, Inc.","OK","WordAndBrownInsurance_Goodwin_C","WordAndBrownInsurance_Goodwin_C_SQL","95","95","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Hopkins, et al. v. Aladdin Food Management Services, LLC, et al.","OK","AladdinFoodManagementServices_Hopkins_C","AladdinFoodManagementServices_Hopkins_C_SQL","251","251","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Jones v. Tapestry, Inc.","OK","Tapestry_Jones_C","Tapestry_Jones_C_SQL","83","83","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Kittlitz v. Half Price Books, Records, Magazines Inc.","OK","HalfPriceBooksRecordsMagazines_Kittlitz_C","HalfPriceBooksRecordsMagazines_Kittlitz_C_SQL","14","14","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Lay v. Betacom Holdings, Inc.","OK","BetacomHoldings_Lay_C","BetacomHoldings_Lay_C_SQL","165","165","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Leonard & Lee v. PCR Store 501, LLC","OK","PCRStore501_LeonardLee_C","PCRStore501_LeonardLee_C_SQL","35","35","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Lesperance v. JAE Oregon, Inc.","OK","JAEOregon_Lesperance_C","JAEOregon_Lesperance_C_SQL","10","10","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Lightner v. Allied-Locke Industries Inc.","OK","AlliedLockeIndustries_Lightner_C","AlliedLockeIndustries_Lightner_C_SQL","56","56","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"M.N. v MultiCare Health System, Inc.","OK","MultiCareHealthSystem_MN_O","MultiCareHealthSystem_MN_O_SQL","635","635","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Miclat v. Advanced Care Staffing","OK","AdvancedCareStaffing_Miclat_C","AdvancedCareStaffing_Miclat_C_SQL","34","34","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
